Evita dejar el agua corriendo cuando laves la loza.-Sigue lavando la loza sin dejar el agua corriendo ;).-Al lavar a mano se realiza un gasto de 88,8 litros de agua diarios, de los cuales 52 son de agua caliente. Por lo tanto siempre se recomienda cerrar la llave mientras se limpia la loza y abrirla solo para enjuagarla cuanto todo la esta limpio. Mejor aún, conecta una pequeña regadera a tu llave para controlar el agua, o incluso consigue una tina para lavar platos, así no desperdiciarás ni una gota.
Evita dejar el agua correiendo cuando te lavez los dientes.-Sigue lavandote los diente sin dejar el agua corriendo ;).-Mejor aún, conecta una pequeña regadera a tu llave para controlar el agua, o incluso consigue una tina para lavar platos, así no desperdiciarás ni una gota.
Prioriza regar con el agua de la lluvia de ser posible.-Sigue regando las plantas sin usar manguera ;).-Regar un patio suele gastar mucha agua, por lo tanto siempre se recomienda reutilizar algun agua para esta función, como puede ser el agua de la lluvia
Prefiere las duchas antes que los baños.-Sigue prefiriendo las duchas ;).-Llenar una bañera se gasta al rededor de 230 litros de aguas, lo cual equivale a 15 minutos de ducha, por lo tanto, lo mejor es preferir las duchas siempre y cuando estas duren menos de 15 minutos.
Intenta acortar el tiempo de tus duchas.-Sigue con duchas cortas ;).-La media de consumo de agua en la ducha, se encuentra en 95 litros, lo cual se traduce en una ducha de cinco minutos. Esta cantidad equivale a la cantidad de agua que bebe una persona en un total de 50 días.
Intenta reducir el consumo de carne semanal.-Sigue con ese consumo de carne ;).- Se consumo recomendado de carnes rojas a la semana son de unos 200 g mientras que los de la carne blanca son unos 250 g, en general se suele comer mucho más que esto a la semana, por lo cual evitar su consumo a gran escala es posible reducir la contaminación.
Intenta recliclar todo lo que puedas.- Sigue reciclando ;).-Es menos costoso reciclar un material que fabricarlo desde cero, como ocurre por ejemplo con el vidrio. Reciclar ayuda a evitar la explotación de los recursos naturales; hace posible que los materiales originales puedan ser aprovechados con un nuevo uso, sin que sea necesario volver a usar recursos naturales para fabricarlos. Se reduce la contaminación, proporcionando una atmósfera más limpia. Reciclando ayudamos a reducir el daño producido al medio ambiente. En Chile cada persona genera 1,19 kilos de residuos diarios y solo el 1% se recicla, es una cifra preocupante por lo que hay que intentar mejorarla.
Prioriza el uso de bombillas led.-Sigue utilizando bombillas led ;).-Las bombillas led son un gran ahorro de electricidad gracias a su bajo consumo, tanto el planeta como tu bolsillo lo agradeceran :).
Prefiere el transporte público o el uso de bicicletas.-Sigue prriorizando metodos de transporte que no contaminen ;).-El transporte publico es mucho menos gastador que un automovil privado, dado a la cantidad de pasajeros que se pueden transportar en relación a la contaminación del medio, por lo cual simepre prefiere el transporte publico como micros o metros, pero recuerda que siempre sera mejor andar en bicicleta o caminando, tambien te hara bien para la salud :).
Intenta evitar el uso de estufas a leña.-Sigue evitando la quema de leñá ;).-El humo de la leña contiene mucho contaminantes del aire nocivos tóxicos, no solo contaminan un montón el aire durante el invierno, sino que también contribuye a la deforestación. por lo cual de ser posible, evita quemarla.
Prefiere el uso de bolsas de genero.-Sigue utilziando bolsas de genero reutilizables ;).-Las bolsas de plasticos son un gran contaminante, dado a su largo periodo de desintegración y la gran cantidad que existe de esta en el medio ambiente, donde uno de los principales afectados son muchas especies de animales que al añó mueren cientos de miles, por lo cual prefiere siempre el uso de bolsas reutilizables.
Prefiere las tazas, botellas o bombillas reutilizables.- Sigue utilizando utiles reutilizables ;).-La mayoria de plasticos son un gran contaminante para el medio ambiente, tazas deshechables, botellas deshechables y bombillas deshechables son unos grandes contaminadores, por lo tanto siempre intenta utilizar productos reutilizables.
Prefiere los productos locales.-Sigue prefiriendo productos locales ;).-El principal beneficio ambiental del consumo local es el ahorro energético y la reducción de emisiones de gases de efecto invernadero, dado que los medios que transportan los productos desde lugares lejanos generan más emisiones. Asimismo, se reducen los embalajes porque un producto que no viaja tanto no necesita tanta protección. Además, en lo referido a la alimentación, el consumo de productos de temporada favorece la economía local y reduce la importación de productos con su correspondiente transporte.
Desconecta los aparatos que no uses.-Sigue desconectando los aparatos que no utilices ;).-Ahorrar energía es una forma efectiva de ayudar a la conservación del medioambiente, pero también de cuidar nuestros bolsillos. El 'consumo fantasma' supone un gasto en electricidad cercano al 10%, por lo que es aconsejable desenchufar los aparatos cuando no se estén utilizando. Los aparatos eléctricos que permanecen enchufados, aunque no los usemos suponen, de media, casi un 10% del consumo mensual eléctrico en cada hogar.
No botes los electrodomésticos si es que aún sirven.-Sigue donando electrodomésticos viejos ;).-Donar los electrodomésticos que ya no utilizas no solo contribuye a controlar la contaminación en los vertederos, sino que también le puedes dar una segunda vida útil.
